2018/02/05 12:19:52 db_populator.go:106: Error 1146: Table 'academy.user' doesn't exist
2018/02/05 12:19:52 db_populator.go:99: Panic Caught in getUserAgent : runtime error: invalid memory address or nil pointer dereference 
2018/02/05 12:19:52 db_populator.go:47: Panic Caught in CreateNewUser : Panic Caught in getUserAgent : runtime error: invalid memory address or nil pointer dereference 
 
2018/02/05 12:24:30 db_populator.go:106: Error 1146: Table 'academy.user' doesn't exist
2018/02/05 12:24:30 db_populator.go:99: Panic Caught in getUserAgent : runtime error: invalid memory address or nil pointer dereference 
2018/02/05 12:24:30 db_populator.go:47: Panic Caught in CreateNewUser : Panic Caught in getUserAgent : runtime error: invalid memory address or nil pointer dereference 
 
2018/02/05 12:31:21 db_populator.go:82: User Created : 
2018/02/05 12:31:22 db_populator.go:82: User Created : 
2018/02/05 12:31:24 db_populator.go:82: User Created : 
2018/02/05 12:31:25 db_populator.go:82: User Created : 
2018/02/05 12:31:27 db_populator.go:82: User Created : 
2018/02/05 12:31:29 db_populator.go:82: User Created : 
2018/02/05 12:31:30 db_populator.go:82: User Created : 
2018/02/05 12:31:32 db_populator.go:82: User Created : 
2018/02/05 12:31:34 db_populator.go:82: User Created : 
2018/02/05 12:31:35 db_populator.go:82: User Created : 
2018/02/05 12:31:37 db_populator.go:82: User Created : 
2018/02/05 12:31:38 db_populator.go:82: User Created : 
2018/02/05 12:31:40 db_populator.go:82: User Created : 
2018/02/05 12:31:42 db_populator.go:82: User Created : 
2018/02/05 12:31:43 db_populator.go:82: User Created : 
2018/02/05 12:31:45 db_populator.go:82: User Created : 
2018/02/05 12:31:47 db_populator.go:82: User Created : 
2018/02/05 12:31:48 db_populator.go:82: User Created : 
2018/02/05 12:31:50 db_populator.go:82: User Created : 
2018/02/05 12:31:51 db_populator.go:82: User Created : 
2018/02/05 12:31:53 db_populator.go:82: User Created : 
2018/02/05 12:31:54 db_populator.go:82: User Created : 
2018/02/05 12:31:56 db_populator.go:82: User Created : 
2018/02/05 12:31:58 db_populator.go:82: User Created : 
2018/02/05 12:31:59 db_populator.go:82: User Created : 
2018/02/05 12:32:01 db_populator.go:82: User Created : 
2018/02/05 12:32:02 db_populator.go:82: User Created : 
2018/02/05 12:32:04 db_populator.go:82: User Created : 
2018/02/05 12:32:06 db_populator.go:82: User Created : 
2018/02/05 12:32:07 db_populator.go:82: User Created : 
2018/02/05 12:32:09 db_populator.go:82: User Created : 
2018/02/05 12:32:10 db_populator.go:82: User Created : 
2018/02/05 12:32:12 db_populator.go:82: User Created : 
2018/02/05 12:32:14 db_populator.go:82: User Created : 
2018/02/05 12:32:15 db_populator.go:82: User Created : 
2018/02/05 12:32:17 db_populator.go:82: User Created : 
2018/02/05 12:32:19 db_populator.go:82: User Created : 
2018/02/05 12:32:20 db_populator.go:82: User Created : 
2018/02/05 12:32:22 db_populator.go:82: User Created : 
2018/02/05 12:32:23 db_populator.go:82: User Created : 
2018/02/05 12:32:25 db_populator.go:82: User Created : 
2018/02/05 12:32:26 db_populator.go:82: User Created : 
2018/02/05 12:32:28 db_populator.go:82: User Created : 
2018/02/05 12:32:30 db_populator.go:82: User Created : 
2018/02/05 12:32:31 db_populator.go:82: User Created : 
2018/02/05 12:32:33 db_populator.go:82: User Created : 
2018/02/05 12:32:34 db_populator.go:82: User Created : 
2018/02/05 12:32:36 db_populator.go:82: User Created : 
2018/02/05 12:32:38 db_populator.go:82: User Created : 
2018/02/05 12:32:39 db_populator.go:82: User Created : 
2018/02/05 12:32:41 db_populator.go:82: User Created : 
2018/02/05 12:32:42 db_populator.go:82: User Created : 
2018/02/05 12:32:44 db_populator.go:82: User Created : 
2018/02/05 12:32:46 db_populator.go:82: User Created : 
2018/02/05 12:32:47 db_populator.go:82: User Created : 
2018/02/05 12:32:49 db_populator.go:82: User Created : 
2018/02/05 12:32:50 db_populator.go:82: User Created : 
2018/02/05 12:32:52 db_populator.go:82: User Created : 
2018/02/05 12:32:54 db_populator.go:82: User Created : 
2018/02/05 12:32:55 db_populator.go:82: User Created : 
2018/02/05 12:32:57 db_populator.go:82: User Created : 
